State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AR,65739,BOONE,0.077500,0.065000,0.012500,0.000000,0.000000,0
AR,65761,MARION,0.077500,0.065000,0.012500,0.000000,0.000000,0
AR,71601,PINE BLUFF,0.093750,0.065000,0.012500,0.016250,0.000000,0
AR,71602,PINE BLUFF,0.093750,0.065000,0.012500,0.016250,0.000000,0
AR,71603,CLEVELAND,0.097500,0.065000,0.032500,0.000000,0.000000,0
AR,71611,PINE BLUFF,0.093750,0.065000,0.012500,0.016250,0.000000,0
AR,71612,PINE BLUFF,0.093750,0.065000,0.012500,0.016250,0.000000,0
AR,71613,PINE BLUFF,0.093750,0.065000,0.012500,0.016250,0.000000,0
AR,71630,ARKANSAS CITY,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,71631,BANKS,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71635,CROSSETT,0.097500,0.065000,0.015000,0.017500,0.000000,0
AR,71638,DERMOTT,0.125000,0.065000,0.020000,0.040000,0.000000,0
AR,71639,DUMAS,0.110000,0.065000,0.015000,0.030000,0.000000,0
AR,71640,EUDORA,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71642,FOUNTAIN HILL,0.090000,0.065000,0.015000,0.010000,0.000000,0
AR,71643,GOULD,0.115000,0.065000,0.020000,0.030000,0.000000,0
AR,71644,GRADY,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71646,HAMBURG,0.110000,0.065000,0.015000,0.030000,0.000000,0
AR,71647,HERMITAGE,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71651,BRADLEY,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71652,KINGSLAND,0.107500,0.065000,0.032500,0.010000,0.000000,0
AR,71653,LAKE VILLAGE,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71654,MCGEHEE,0.110000,0.065000,0.015000,0.030000,0.000000,0
AR,71655,MONTICELLO,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71656,MONTICELLO,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71657,MONTICELLO,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71658,DREW,0.087500,0.065000,0.022500,0.000000,0.000000,0
AR,71659,JEFFERSON,0.077500,0.065000,0.012500,0.000000,0.000000,0
AR,71660,CLEVELAND,0.097500,0.065000,0.032500,0.000000,0.000000,0
AR,71661,PARKDALE,0.090000,0.065000,0.015000,0.010000,0.000000,0
AR,71662,DESHA,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71663,ASHLEY,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,71665,RISON,0.107500,0.065000,0.032500,0.010000,0.000000,0
AR,71666,DESHA,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71667,CLEVELAND,0.097500,0.065000,0.032500,0.000000,0.000000,0
AR,71670,TILLAR,0.107500,0.065000,0.022500,0.020000,0.000000,0
AR,71671,CLEVELAND,0.097500,0.065000,0.032500,0.000000,0.000000,0
AR,71674,WATSON,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71675,WILMAR,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71676,WILMOT,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,71677,WINCHESTER,0.087500,0.065000,0.022500,0.000000,0.000000,0
AR,71678,LINCOLN,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71701,CAMDEN,0.107500,0.065000,0.025000,0.017500,0.000000,0
AR,71711,CAMDEN,0.107500,0.065000,0.025000,0.017500,0.000000,0
AR,71720,BEARDEN,0.100000,0.065000,0.025000,0.010000,0.000000,0
AR,71721,CLARK,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71722,BLUFF CITY,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71724,CALION,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71725,CARTHAGE,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71726,CHIDESTER,0.110000,0.065000,0.025000,0.020000,0.000000,0
AR,71728,CLARK,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71730,EL DORADO,0.097500,0.065000,0.020000,0.012500,0.000000,0
AR,71731,EL DORADO,0.097500,0.065000,0.020000,0.012500,0.000000,0
AR,71740,EMERSON,0.090000,0.065000,0.015000,0.010000,0.000000,0
AR,71742,FORDYCE,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71743,GURDON,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71744,HAMPTON,0.096250,0.065000,0.026250,0.005000,0.000000,0
AR,71745,HARRELL,0.091250,0.065000,0.026250,0.000000,0.000000,0
AR,71747,FELSENTHAL,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71748,DALLAS,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71749,UNION,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71750,UNION,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71751,LOUANN,0.090000,0.065000,0.025000,0.000000,0.000000,0
AR,71752,MCNEIL,0.090000,0.065000,0.015000,0.010000,0.000000,0
AR,71753,MAGNOLIA,0.102500,0.065000,0.015000,0.022500,0.000000,0
AR,71754,MAGNOLIA,0.102500,0.065000,0.015000,0.022500,0.000000,0
AR,71758,UNION,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71759,NORPHLET,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71762,OUACHITA,0.090000,0.065000,0.025000,0.000000,0.000000,0
AR,71763,SPARKMAN,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71764,STEPHENS,0.120000,0.065000,0.025000,0.030000,0.000000,0
AR,71765,UNION,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71766,THORNTON,0.101250,0.065000,0.026250,0.010000,0.000000,0
AR,71770,MAGNOLIA,0.102500,0.065000,0.015000,0.022500,0.000000,0
AR,71772,WHELEN SPRINGS,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71801,HOPE,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71802,HOPE,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71820,LITTLE RIVER,0.093750,0.065000,0.028750,0.000000,0.000000,0
AR,71822,ASHDOWN,0.113750,0.065000,0.028750,0.020000,0.000000,0
AR,71823,BEN LOMOND,0.096250,0.065000,0.031250,0.000000,0.000000,0
AR,71825,BLEVINS,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71826,BRADLEY,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71827,BUCKNER,0.087500,0.065000,0.022500,0.000000,0.000000,0
AR,71828,CALE,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71831,HOWARD,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,71832,DE QUEEN,0.106250,0.065000,0.031250,0.010000,0.000000,0
AR,71833,DIERKS,0.102500,0.065000,0.027500,0.010000,0.000000,0
AR,71834,MILLER,0.077500,0.065000,0.012500,0.000000,0.000000,0
AR,71835,EMMET,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71836,FOREMAN,0.103750,0.065000,0.028750,0.010000,0.000000,0
AR,71837,FOUKE,0.087500,0.065000,0.012500,0.010000,0.000000,0
AR,71838,MCNAB,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71839,GARLAND,0.087500,0.065000,0.012500,0.010000,0.000000,0
AR,71840,MILLER,0.077500,0.065000,0.012500,0.000000,0.000000,0
AR,71841,GILLHAM,0.126250,0.065000,0.031250,0.030000,0.000000,0
AR,71842,HORATIO,0.106250,0.065000,0.031250,0.010000,0.000000,0
AR,71845,LEWISVILLE,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71846,LOCKESBURG,0.103750,0.065000,0.031250,0.007500,0.000000,0
AR,71847,MCCASKILL,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71851,MINERAL SPRINGS,0.102500,0.065000,0.027500,0.010000,0.000000,0
AR,71852,NASHVILLE,0.102500,0.065000,0.027500,0.010000,0.000000,0
AR,71853,OGDEN,0.093750,0.065000,0.028750,0.000000,0.000000,0
AR,71854,TEXARKANA,0.102500,0.065000,0.012500,0.025000,0.000000,0
AR,71855,OZAN,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71857,PRESCOTT,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71858,ROSSTON,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71859,HOWARD,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,71860,STAMPS,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,71861,TAYLOR,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,71862,WASHINGTON,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71864,WILLISVILLE,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71865,WILTON,0.103750,0.065000,0.028750,0.010000,0.000000,0
AR,71866,WINTHROP,0.093750,0.065000,0.028750,0.000000,0.000000,0
AR,71901,HOT SPRINGS,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71902,HOT SPRINGS,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71903,HOT SPRINGS,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71909,GARLAND,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71910,GARLAND,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71913,HOT SPRINGS,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71914,HOT SPRINGS,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71920,AMITY,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71921,AMITY,0.095000,0.065000,0.015000,0.015000,0.000000,0
AR,71922,ANTOINE,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71923,ARKADELPHIA,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,71929,CLARK,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71932,POLK,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71933,MONTGOMERY,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71935,MONTGOMERY,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71937,COVE,0.105000,0.065000,0.020000,0.020000,0.000000,0
AR,71940,DELIGHT,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71941,DONALDSON,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71942,FRIENDSHIP,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71943,GLENWOOD,0.110000,0.065000,0.030000,0.015000,0.000000,0
AR,71944,GRANNIS,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71945,HATFIELD,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71949,GARLAND,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71950,DAISY,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71952,PIKE,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,71953,MENA,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71956,MOUNTAIN PINE,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71957,MOUNT IDA,0.105000,0.065000,0.030000,0.010000,0.000000,0
AR,71958,MURFREESBORO,0.100000,0.065000,0.020000,0.015000,0.000000,0
AR,71959,HOWARD,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,71960,NORMAN,0.105000,0.065000,0.030000,0.010000,0.000000,0
AR,71961,ODEN,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71962,OKOLONA,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71964,GARLAND,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71965,MONTGOMERY,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71966,ODEN,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71968,GARLAND,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,71969,MONTGOMERY,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71970,MONTGOMERY,0.095000,0.065000,0.030000,0.000000,0.000000,0
AR,71971,HOWARD,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,71972,VANDERVOORT,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71973,GRANNIS,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,71998,ARKADELPHIA,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,71999,ARKADELPHIA,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,72001,ADONA,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,72002,ALEXANDER,0.105000,0.065000,0.010000,0.030000,0.000000,0
AR,72003,ALMYRA,0.085000,0.065000,0.010000,0.010000,0.000000,0
AR,72004,ALTHEIMER,0.087500,0.065000,0.012500,0.010000,0.000000,0
AR,72005,AMAGON,0.087500,0.065000,0.022500,0.000000,0.000000,0
AR,72006,AUGUSTA,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,72007,AUSTIN,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,72010,BALD KNOB,0.097500,0.065000,0.017500,0.015000,0.000000,0
AR,72011,BENTON,0.090000,0.065000,0.000000,0.025000,0.000000,0
AR,72012,BEEBE,0.095000,0.065000,0.017500,0.012500,0.000000,0
AR,72013,CONWAY,0.082500,0.065000,0.017500,0.000000,0.000000,0
AR,72014,BEEDEVILLE,0.092500,0.065000,0.022500,0.005000,0.000000,0
AR,72015,BRYANT,0.095000,0.065000,0.000000,0.030000,0.000000,0
AR,72016,BIGELOW,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,72017,FREDONIA (BISCOE),0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,72018,BENTON,0.090000,0.065000,0.000000,0.025000,0.000000,0
AR,72019,BRYANT,0.095000,0.065000,0.000000,0.030000,0.000000,0
AR,72020,BRADFORD,0.102500,0.065000,0.017500,0.020000,0.000000,0
AR,72021,WHEATLEY,0.103750,0.065000,0.028750,0.010000,0.000000,0
AR,72022,BRYANT,0.095000,0.065000,0.000000,0.030000,0.000000,0
AR,72023,AUSTIN,0.100000,0.065000,0.015000,0.020000,0.000000,0
AR,72024,CARLISLE,0.101250,0.065000,0.015000,0.021250,0.000000,0
AR,72025,CASA,0.092500,0.065000,0.027500,0.000000,0.000000,0
AR,72026,ARKANSAS,0.075000,0.065000,0.010000,0.000000,0.000000,0
AR,72027,CONWAY,0.082500,0.065000,0.017500,0.000000,0.000000,0
AR,72028,VAN BUREN,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,72029,CLARENDON,0.105000,0.065000,0.000000,0.040000,0.000000,0
AR,72030,CONWAY,0.082500,0.065000,0.017500,0.000000,0.000000,0
AR,72031,CLINTON,0.090000,0.065000,0.015000,0.010000,0.000000,0
AR,72032,CONWAY,0.091250,0.065000,0.005000,0.021250,0.000000,0
AR,72033,CONWAY,0.091250,0.065000,0.005000,0.021250,0.000000,0
AR,72034,CONWAY,0.091250,0.065000,0.005000,0.021250,0.000000,0
AR,72035,CONWAY,0.091250,0.065000,0.005000,0.021250,0.000000,0
AR,72036,COTTON PLANT,0.095000,0.065000,0.020000,0.010000,0.000000,0
AR,72037,COY,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,72038,ARKANSAS,0.075000,0.065000,0.010000,0.000000,0.000000,0
AR,72039,VAN BUREN,0.090000,0.065000,0.015000,0.010000,0.000000,0
AR,72040,DES ARC,0.110000,0.065000,0.015000,0.030000,0.000000,0
AR,72041,DE VALLS BLUFF,0.110000,0.065000,0.015000,0.030000,0.000000,0
AR,72042,DE WITT,0.110000,0.065000,0.010000,0.035000,0.000000,0
AR,72043,DIAZ,0.097500,0.065000,0.022500,0.010000,0.000000,0
AR,72044,CLEBURNE,0.081250,0.065000,0.016250,0.000000,0.000000,0
AR,72045,WHITE,0.082500,0.065000,0.017500,0.000000,0.000000,0
AR,72046,ENGLAND,0.110000,0.065000,0.015000,0.030000,0.000000,0
AR,72047,ENOLA,0.070000,0.065000,0.005000,0.000000,0.000000,0
AR,72048,ARKANSAS,0.075000,0.065000,0.010000,0.000000,0.000000,0
AR,72051,STONE,0.080000,0.065000,0.015000,0.000000,0.000000,0
AR,72052,GARNER,0.082500,0.065000,0.017500,0.000000,0.000000,0
AR,72053,PULASKI,0.075000,0.065000,0.010000,0.000000,0.000000,0
AR,72055,GILLETT,0.105000,0.065000,0.010000,0.030000,0.000000,0
AR,72057,CLEVELAND,0.097500,0.065000,0.032500,0.000000,0.000000,0
AR,72058,GREENBRIER,0.095000,0.065000,0.005000,0.025000,0.000000,0
AR,72059,WOODRUFF,0.085000,0.065000,0.020000,0.000000,0.000000,0
AR,72060,GRIFFITHVILLE,0.082500,0.065000,0.017500,0.000000,0.000000,0
AR,72061,GUY,0.085000,0.065000,0.005000,0.015000,0.000000,0
