State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CA,92698,ALISO VIEJO,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92701,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92702,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92703,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92704,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92705,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92706,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92707,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92708,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92711,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92728,FOUNTAIN VALLEY,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92735,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92780,TUSTIN,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92781,TUSTIN,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92782,IRVINE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92799,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92801,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92802,GARDEN GROVE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92803,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92804,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92805,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92806,PLACENTIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92807,PLACENTIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92808,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92809,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92811,PLACENTIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92812,ANAHEIM TOURISM IMPROVEMENT DISTRICT,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92814,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92815,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92816,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92817,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92821,BREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92822,BREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92823,BREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92825,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92831,PLACENTIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92832,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92833,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92834,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92835,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92836,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92837,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92838,FULLERTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92840,GARDEN GROVE TOURISM IMPROVEMENT DISTRICT (TIER 2),0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92841,WESTMINSTER,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92842,GARDEN GROVE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92843,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92844,WESTMINSTER,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92845,GARDEN GROVE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92846,GARDEN GROVE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92856,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92857,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92859,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92860,NORCO,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92861,ORANGE COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92862,ORANGE COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92863,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92864,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92865,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92866,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92867,ORANGE COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92868,SANTA ANA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,92869,ORANGE,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92870,PLACENTIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92871,PLACENTIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92877,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92878,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92879,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92880,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92881,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92882,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92883,CORONA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,92885,YORBA LINDA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92886,YORBA LINDA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92887,YORBA LINDA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,92899,ANAHEIM,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93001,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93002,SAN BUENAVENTURA,0.077500,0.060000,0.002500,0.005000,0.010000,0
CA,93003,SAN BUENAVENTURA,0.077500,0.060000,0.002500,0.005000,0.010000,0
CA,93004,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93005,SAN BUENAVENTURA,0.077500,0.060000,0.002500,0.005000,0.010000,0
CA,93006,SAN BUENAVENTURA,0.077500,0.060000,0.002500,0.005000,0.010000,0
CA,93007,SAN BUENAVENTURA,0.077500,0.060000,0.002500,0.005000,0.010000,0
CA,93009,SAN BUENAVENTURA,0.077500,0.060000,0.002500,0.005000,0.010000,0
CA,93010,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93011,CAMARILLO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93012,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93013,CARPINTERIA,0.090000,0.060000,0.002500,0.012500,0.015000,0
CA,93014,CARPINTERIA,0.090000,0.060000,0.002500,0.012500,0.015000,0
CA,93015,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93016,FILLMORE,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93020,MOORPARK,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93021,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93022,OJAI TOURISM IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93023,OJAI TOURISM IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93024,OJAI,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93030,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93031,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93032,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93033,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93034,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93035,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93036,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93040,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93041,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93042,OXNARD,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93043,PORT HUENEME,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93044,PORT HUENEME,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93060,SANTA PAULA,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93061,SANTA PAULA,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93062,SIMI VALLEY,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93063,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,93064,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93065,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93066,VENTURA CO LOCAL TAX SL,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93067,SANTA BARBARA SOUTH COAST TOURISM BUSINESS IMPROVEMENT AREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93094,SIMI VALLEY,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93099,SIMI VALLEY,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93101,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93102,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93103,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93105,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93106,SANTA BARBARA SOUTH COAST TOURISM BUSINESS IMPROVEMENT AREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93107,SANTA BARBARA SOUTH COAST TOURISM BUSINESS IMPROVEMENT AREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93108,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93109,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93110,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93111,GOLETA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93116,GOLETA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93117,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93118,GOLETA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93120,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93121,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93130,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93140,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93150,SANTA BARBARA SOUTH COAST TOURISM BUSINESS IMPROVEMENT AREA,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93160,GOLETA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93190,SANTA BARBARA,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93199,GOLETA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93201,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93202,KINGS,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93203,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93204,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93205,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93206,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93207,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93208,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93210,COALINGA,0.089750,0.060000,0.002500,0.010000,0.017250,0
CA,93212,CORCORAN,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93215,DELANO,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93216,DELANO,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93218,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93219,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93220,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93221,EXETER,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93222,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93223,FARMERSVILLE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93224,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93225,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93226,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93227,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93230,HANFORD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93232,HANFORD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93234,HURON,0.089750,0.060000,0.002500,0.010000,0.017250,0
CA,93235,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93237,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93238,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93239,AVENAL,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93240,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93241,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93242,FRESNO CO LOCAL TAX SL,0.079750,0.060000,0.002500,0.000000,0.017250,0
CA,93243,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,93244,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93245,LEMOORE,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93246,KINGS,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93247,LINDSAY,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93249,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93250,MCFARLAND,0.092500,0.060000,0.002500,0.020000,0.010000,0
CA,93251,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93252,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93254,SANTA BARBARA COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93255,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93256,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93257,PORTERVILLE,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93258,PORTERVILLE,0.092500,0.060000,0.002500,0.015000,0.015000,0
CA,93260,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93261,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93262,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93263,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93265,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93266,KINGS,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93267,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93268,TAFT,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93270,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93271,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93272,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93274,VISALIA,0.085000,0.060000,0.002500,0.007500,0.015000,0
CA,93275,TULARE,0.082500,0.060000,0.002500,0.005000,0.015000,0
CA,93276,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93277,VISALIA,0.085000,0.060000,0.002500,0.007500,0.015000,0
CA,93278,VISALIA,0.085000,0.060000,0.002500,0.007500,0.015000,0
CA,93279,VISALIA,0.085000,0.060000,0.002500,0.007500,0.015000,0
CA,93280,WASCO,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93282,TULARE CO LOCAL TAX SL,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93283,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93285,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93286,WOODLAKE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93287,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93290,VISALIA,0.085000,0.060000,0.002500,0.007500,0.015000,0
CA,93291,VISALIA,0.085000,0.060000,0.002500,0.007500,0.015000,0
CA,93292,FARMERSVILLE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93301,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93302,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93303,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93304,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93305,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93306,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93307,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93308,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93309,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93311,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93312,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93313,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93314,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93380,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93383,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93384,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93385,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93386,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93387,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93388,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93389,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93390,BAKERSFIELD,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93401,SAN LUIS OBISPO,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93402,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93403,SAN LUIS OBISPO,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93405,SAN LUIS OBISPO,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93406,SAN LUIS OBISPO,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93407,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93408,SAN LUIS OBISPO,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93409,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93410,ARROYO GRANDE TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93412,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93420,ARROYO GRANDE TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93421,ARROYO GRANDE TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93422,ATASCADERO TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93423,ATASCADERO TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93424,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93426,MONTEREY COUNTY TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.000000,0.025000,0
CA,93427,BUELLTON,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93428,SAN LUIS OBISPO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93429,SANTA BARBARA COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93430,SAN LUIS OBISPO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93432,SAN LUIS OBISPO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93433,GROVER BEACH,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93434,GUADALUPE,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93435,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93436,LOMPOC TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93437,LOMPOC TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93438,LOMPOC TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93440,SANTA YNEZ VALLEY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93441,SANTA BARBARA COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93442,MORRO BAY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93443,MORRO BAY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93444,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93445,GROVER BEACH,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93446,PASO ROBLES TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93447,PASO ROBLES TOURISM BUSINESS IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93448,PISMO BEACH LODGING BUSINESS IMPROVEMENT DISTRICT,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93449,PISMO BEACH LODGING BUSINESS IMPROVEMENT DISTRICT,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93450,MONTEREY COUNTY TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.000000,0.025000,0
CA,93451,MONTEREY COUNTY TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.000000,0.025000,0
CA,93452,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93453,SAN LUIS OBISPO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93454,SANTA MARIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93455,SANTA MARIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93456,SANTA MARIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93457,SANTA BARBARA COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93458,SANTA MARIA,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93460,SANTA YNEZ VALLEY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93461,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93463,SOLVANG,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93464,SOLVANG,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93465,SAN LUIS OBISPO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93475,SAN LUIS OBISPO COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93483,GROVER BEACH,0.087500,0.060000,0.002500,0.015000,0.010000,0
CA,93501,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93502,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93504,CALIFORNIA CITY,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93505,CALIFORNIA CITY,0.082500,0.060000,0.002500,0.010000,0.010000,0
CA,93510,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,93512,MONO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93513,INYO COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93514,BISHOP TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93515,BISHOP TOURISM IMPROVEMENT DISTRICT,0.087500,0.060000,0.002500,0.010000,0.015000,0
CA,93516,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93517,MONO,0.072500,0.060000,0.002500,0.000000,0.010000,0
CA,93518,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93519,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93522,INYO COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93523,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93524,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93526,INYO COUNTY DISTRICT TAX SP,0.077500,0.060000,0.002500,0.000000,0.015000,0
CA,93527,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93528,KERN,0.082500,0.060000,0.002500,0.000000,0.020000,0
CA,93529,MONO,0.072500,0.060000,0.002500,0.000000,0.010000,0
